@timestamp,message,PATTERN,IMPACT,URGENCY,PRIORITY,LOGZIO_PROJECT,APPLICATION,ENVIRONMENT,STATUS,TARGET_SYSTEM,TARGET_URI
2022-02-23T16:52:47.515000,"""2022-02-23 16:52:47.515  INFO 1 --- [nio-8080-exec-9] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469297)\""}]\n""",Get Subscription & Device Error 404,2,3,4,Wireless Revenue Management Prod,iAPI,PRODUCTION,EXISTING,iAPI,.w.r.s.m.s.SubscriptionManagementService
2022-02-23T16:52:47.276000,"""2022-02-23 16:52:47.275  INFO 1 --- [nio-8080-exec-6] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469296)\""}]\n""",Get Subscription & Device Error 404,2,3,4,Wireless Revenue Management Prod,iAPI,PRODUCTION,EXISTING,iAPI,.w.r.s.m.s.SubscriptionManagementService
2022-02-23T16:52:47.051000,"""2022-02-23 16:52:47.051  INFO 1 --- [nio-8080-exec-7] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469295)\""}]\n""",Get Subscription & Device Error 404,2,3,4,Wireless Revenue Management Prod,iAPI,PRODUCTION,EXISTING,iAPI,.w.r.s.m.s.SubscriptionManagementService
2022-02-23T16:52:46.823000,"""2022-02-23 16:52:46.822  INFO 1 --- [nio-8080-exec-5] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469294)\""}]\n""",Get Subscription & Device Error 404,2,3,4,Wireless Revenue Management Prod,iAPI,PRODUCTION,EXISTING,iAPI,.w.r.s.m.s.SubscriptionManagementService
2022-02-23T16:52:46.595000,"""2022-02-23 16:52:46.595  INFO 1 --- [nio-8080-exec-3] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469293)\""}]\n""",Get Subscription & Device Error 404,2,3,4,Wireless Revenue Management Prod,iAPI,PRODUCTION,EXISTING,iAPI,.w.r.s.m.s.SubscriptionManagementService
2022-02-23T16:52:46.369000,"""2022-02-23 16:52:46.369  INFO 1 --- [nio-8080-exec-4] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469292)\""}]\n""",Get Subscription & Device Error 404,2,3,4,Wireless Revenue Management Prod,iAPI,PRODUCTION,EXISTING,iAPI,.w.r.s.m.s.SubscriptionManagementService
2022-02-23T16:52:46.156000,"""2022-02-23 16:52:46.156  INFO 1 --- [nio-8080-exec-2] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469290)\""}]\n""",Get Subscription & Device Error 404,2,3,4,Wireless Revenue Management Prod,iAPI,PRODUCTION,EXISTING,iAPI,.w.r.s.m.s.SubscriptionManagementService
2022-02-23T16:52:45.929000,"""2022-02-23 16:52:45.929  INFO 1 --- [nio-8080-exec-1] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469289)\""}]\n""",Get Subscription & Device Error 404,2,3,4,Wireless Revenue Management Prod,iAPI,PRODUCTION,EXISTING,iAPI,.w.r.s.m.s.SubscriptionManagementService
2022-02-23T16:52:45.714000,"""2022-02-23 16:52:45.713  INFO 1 --- [io-8080-exec-10] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469288)\""}]\n""",Get Subscription & Device Error 404,2,3,4,Wireless Revenue Management Prod,iAPI,PRODUCTION,EXISTING,iAPI,.w.r.s.m.s.SubscriptionManagementService
2022-02-23T16:52:45.495000,"""2022-02-23 16:52:45.495  INFO 1 --- [nio-8080-exec-8] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469287)\""}]\n""",Get Subscription & Device Error 404,2,3,4,Wireless Revenue Management Prod,iAPI,PRODUCTION,EXISTING,iAPI,.w.r.s.m.s.SubscriptionManagementService
2022-02-23T16:52:45.271000,"""2022-02-23 16:52:45.271  INFO 1 --- [nio-8080-exec-9] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469263)\""}]\n""",Get Subscription & Device Error 404,2,3,4,Wireless Revenue Management Prod,iAPI,PRODUCTION,EXISTING,iAPI,.w.r.s.m.s.SubscriptionManagementService
2022-02-23T16:52:45.023000,"""2022-02-23 16:52:45.023  INFO 1 --- [nio-8080-exec-6] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469259)\""}]\n""",Get Subscription & Device Error 404,2,3,4,Wireless Revenue Management Prod,iAPI,PRODUCTION,EXISTING,iAPI,.w.r.s.m.s.SubscriptionManagementService
2022-02-23T16:52:44.800000,"""2022-02-23 16:52:44.799  INFO 1 --- [nio-8080-exec-7] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469256)\""}]\n""",Get Subscription & Device Error 404,2,3,4,Wireless Revenue Management Prod,iAPI,PRODUCTION,EXISTING,iAPI,.w.r.s.m.s.SubscriptionManagementService
2022-02-23T16:52:44.572000,"""2022-02-23 16:52:44.572  INFO 1 --- [nio-8080-exec-5] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469205)\""}]\n""",Get Subscription & Device Error 404,2,3,4,Wireless Revenue Management Prod,iAPI,PRODUCTION,EXISTING,iAPI,.w.r.s.m.s.SubscriptionManagementService
2022-02-23T16:52:44.354000,"""2022-02-23 16:52:44.354  INFO 1 --- [nio-8080-exec-3] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469201)\""}]\n""",Get Subscription & Device Error 404,2,3,4,Wireless Revenue Management Prod,iAPI,PRODUCTION,EXISTING,iAPI,.w.r.s.m.s.SubscriptionManagementService
2022-02-23T16:52:44.132000,"""2022-02-23 16:52:44.131  INFO 1 --- [nio-8080-exec-4] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469199)\""}]\n""",Get Subscription & Device Error 404,2,3,4,Wireless Revenue Management Prod,iAPI,PRODUCTION,EXISTING,iAPI,.w.r.s.m.s.SubscriptionManagementService
2022-02-23T16:52:43.910000,"""2022-02-23 16:52:43.910  INFO 1 --- [nio-8080-exec-2] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469187)\""}]\n""",Get Subscription & Device Error 404,2,3,4,Wireless Revenue Management Prod,iAPI,PRODUCTION,EXISTING,iAPI,.w.r.s.m.s.SubscriptionManagementService
2022-02-23T16:52:43.690000,"""2022-02-23 16:52:43.689  INFO 1 --- [nio-8080-exec-1] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469172)\""}]\n""",Get Subscription & Device Error 404,2,3,4,Wireless Revenue Management Prod,iAPI,PRODUCTION,EXISTING,iAPI,.w.r.s.m.s.SubscriptionManagementService
